,x,s,n,t,p.1,f,c,n.1,k,e,e.1,s.1,s.2,w,w.1,p.2,w.2,o,p.3,k.1,s.3,u
199,5,3,9,1,3,1,0,0,10,0,2,2,2,7,7,0,2,1,4,3,3,1
200,0,2,8,1,3,1,0,0,10,0,2,2,2,7,7,0,2,1,4,2,3,1
201,5,2,8,1,0,1,0,0,2,0,2,2,2,7,7,0,2,1,4,2,2,1
202,5,0,8,0,5,1,1,0,3,1,3,0,2,7,7,0,2,1,0,2,3,1
203,2,3,4,1,3,1,0,0,5,0,4,2,3,7,7,0,2,1,4,2,5,4
204,5,2,8,1,6,1,0,1,4,0,3,2,2,7,7,0,2,1,4,3,4,5
205,0,2,8,1,0,1,0,0,5,0,2,2,2,7,7,0,2,1,4,3,2,1
206,0,2,8,1,0,1,0,0,4,0,2,2,2,7,7,0,2,1,4,2,3,3
207,0,3,8,1,3,1,0,0,5,0,2,2,2,7,7,0,2,1,4,3,2,1
208,0,3,8,1,0,1,0,0,10,0,2,2,2,7,7,0,2,1,4,2,2,1
209,5,2,9,1,0,1,0,0,10,0,2,2,2,7,7,0,2,1,4,2,3,1
210,0,2,8,1,3,1,0,0,10,0,2,2,2,7,7,0,2,1,4,2,2,3
211,5,0,9,1,0,1,1,1,5,1,1,2,2,7,7,0,2,1,4,3,4,0
212,5,0,3,0,5,1,0,1,5,0,3,2,2,7,7,0,2,1,4,3,5,5
213,2,3,9,1,0,1,0,0,5,0,4,2,3,7,7,0,2,1,4,3,3,1
214,0,2,8,1,3,1,0,0,5,0,2,2,2,7,7,0,2,1,4,2,2,3
215,5,2,9,1,0,1,0,0,2,0,2,2,2,7,7,0,2,1,4,2,3,1
216,5,3,9,1,0,1,0,0,4,0,2,2,2,7,7,0,2,1,4,2,3,1
217,5,3,8,1,3,1,0,0,10,0,2,2,2,7,7,0,2,1,4,3,3,1
218,4,0,3,0,5,1,0,1,7,0,3,2,2,7,7,0,2,1,4,3,4,5
219,5,2,8,1,0,1,0,0,5,0,2,2,2,7,7,0,2,1,4,3,2,3
220,5,2,8,1,6,1,0,1,4,0,3,2,2,7,7,0,2,1,4,2,3,1
221,5,3,9,1,0,1,0,0,5,0,4,2,3,7,7,0,2,1,4,3,3,1
222,2,0,8,1,0,1,1,1,7,1,1,2,2,7,7,0,2,1,4,3,4,0
223,5,3,8,1,3,1,0,0,2,0,2,2,2,7,7,0,2,1,4,2,2,3
224,0,3,8,1,3,1,0,0,5,0,2,2,2,7,7,0,2,1,4,2,3,1
225,5,2,8,1,0,1,0,0,2,0,2,2,2,7,7,0,2,1,4,3,2,1
226,5,2,9,1,0,1,0,0,2,0,2,2,2,7,7,0,2,1,4,3,3,1
227,5,3,4,1,6,1,0,1,7,0,3,2,2,7,7,0,2,1,4,2,4,5
228,0,2,9,1,0,1,0,0,5,0,2,2,2,7,7,0,2,1,4,3,2,1
229,5,0,3,0,5,1,0,1,5,0,3,2,2,7,7,0,2,1,4,2,5,5
230,5,3,8,1,6,1,0,1,4,0,3,2,2,7,7,0,2,1,4,2,3,5
231,5,3,9,1,3,1,0,0,5,0,4,2,3,7,7,0,2,1,4,3,5,4
232,2,0,4,0,5,1,0,1,4,0,3,2,2,7,7,0,2,1,4,2,4,5
233,0,2,8,1,3,1,0,0,4,0,2,2,2,7,7,0,2,1,4,3,2,1
234,5,0,8,1,3,1,1,1,10,1,1,2,2,7,7,0,2,1,4,3,4,0
235,5,3,8,1,3,1,0,0,10,0,2,2,2,7,7,0,2,1,4,2,3,1
236,0,3,9,1,3,1,0,0,5,0,2,2,2,7,7,0,2,1,4,3,3,1
237,5,3,9,1,3,1,0,0,5,0,4,2,3,7,7,0,2,1,4,2,3,1
238,2,3,9,1,0,1,0,0,7,0,4,2,3,7,7,0,2,1,4,2,3,4
239,2,3,9,1,0,1,0,0,10,0,4,2,3,7,7,0,2,1,4,2,5,4
240,5,2,8,1,3,1,0,0,10,0,2,2,2,7,7,0,2,1,4,2,3,1
241,5,2,8,1,0,1,0,0,10,0,2,2,2,7,7,0,2,1,4,3,2,3
242,5,2,8,1,6,1,0,1,5,0,3,2,2,7,7,0,2,1,4,2,4,5
243,2,0,8,1,0,1,1,1,7,1,1,2,2,7,7,0,2,1,4,6,4,0
244,5,2,8,1,3,1,0,0,10,0,2,2,2,7,7,0,2,1,4,3,3,1
245,5,2,8,1,3,1,1,1,7,1,1,2,2,7,7,0,2,1,4,6,4,0
246,5,3,8,1,0,1,0,0,5,0,2,2,2,7,7,0,2,1,4,2,3,3
247,2,3,9,1,3,1,0,0,10,0,4,2,3,7,7,0,2,1,4,2,5,4
248,5,2,4,0,5,1,1,0,7,1,3,0,2,7,7,0,2,1,0,2,3,1
249,2,3,9,1,0,1,0,0,10,0,4,2,3,7,7,0,2,1,4,3,5,1
250,5,2,4,1,6,1,0,1,7,0,3,2,2,7,7,0,2,1,4,3,3,1
251,4,0,4,0,5,1,0,1,2,0,3,2,2,7,7,0,2,1,4,3,4,5
252,0,3,9,1,3,1,0,0,10,0,2,2,2,7,7,0,2,1,4,3,3,3
253,0,2,8,1,3,1,0,0,5,0,2,2,2,7,7,0,2,1,4,3,3,1
254,0,3,8,1,3,1,0,0,4,0,2,2,2,7,7,0,2,1,4,3,2,3
255,2,0,4,0,5,1,0,1,4,0,3,2,2,7,7,0,2,1,4,3,4,5
256,5,2,8,1,0,1,0,0,10,0,2,2,2,7,7,0,2,1,4,2,2,3
257,0,3,8,1,3,1,0,0,2,0,2,2,2,7,7,0,2,1,4,2,2,1
258,0,3,8,1,0,1,0,0,2,0,2,2,2,7,7,0,2,1,4,3,2,3
259,2,3,4,1,3,1,0,0,10,0,4,2,3,7,7,0,2,1,4,3,3,1
260,5,3,8,1,6,1,0,1,4,0,3,2,2,7,7,0,2,1,4,2,4,1
261,5,2,8,1,0,1,0,0,5,0,2,2,2,7,7,0,2,1,4,3,2,1
262,5,3,8,1,0,1,0,0,5,0,2,2,2,7,7,0,2,1,4,3,3,3
263,2,0,8,1,3,1,1,1,10,1,1,2,2,7,7,0,2,1,4,6,4,0
264,2,0,3,0,5,1,0,1,2,0,3,2,2,7,7,0,2,1,4,2,4,5
265,2,2,3,0,5,1,1,0,7,1,3,2,2,7,7,0,2,1,0,2,0,1
266,5,3,9,1,0,1,0,0,2,0,2,2,2,7,7,0,2,1,4,3,3,3
267,0,2,8,1,0,1,0,0,4,0,2,2,2,7,7,0,2,1,4,3,3,3
268,2,3,4,1,6,1,0,1,10,0,3,2,2,7,7,0,2,1,4,2,3,5
269,5,2,8,1,3,1,0,0,5,0,2,2,2,7,7,0,2,1,4,2,2,3
270,2,2,4,1,6,1,0,1,10,0,3,2,2,7,7,0,2,1,4,2,4,5
271,5,3,8,1,3,1,0,0,4,0,2,2,2,7,7,0,2,1,4,3,3,1
272,5,3,9,1,0,1,0,0,4,0,2,2,2,7,7,0,2,1,4,3,2,3
273,2,3,9,1,0,1,0,0,5,0,4,2,3,7,7,0,2,1,4,3,3,4
274,5,3,4,1,0,1,0,0,10,0,4,2,3,7,7,0,2,1,4,3,3,4
275,2,3,4,1,0,1,0,0,10,0,4,2,3,7,7,0,2,1,4,3,5,1
276,5,3,8,1,0,1,0,0,10,0,2,2,2,7,7,0,2,1,4,3,2,3
277,2,0,4,0,5,1,1,0,3,1,3,2,2,7,7,0,2,1,0,2,3,1
278,5,2,9,1,3,1,0,0,4,0,2,2,2,7,7,0,2,1,4,3,2,3
279,5,3,8,1,6,1,0,1,10,0,3,2,2,7,7,0,2,1,4,3,3,1
280,0,3,9,1,0,1,0,0,5,0,2,2,2,7,7,0,2,1,4,3,2,3
281,4,0,4,0,5,1,0,1,7,0,3,2,2,7,7,0,2,1,4,3,4,5
282,5,2,9,1,3,1,0,0,4,0,2,2,2,7,7,0,2,1,4,2,3,3
283,0,3,8,1,3,1,0,0,5,0,2,2,2,7,7,0,2,1,4,2,2,3
284,2,3,4,1,0,1,0,0,5,0,4,2,3,7,7,0,2,1,4,2,3,1
285,0,3,9,1,0,1,0,0,2,0,2,2,2,7,7,0,2,1,4,2,3,3
286,0,3,8,1,0,1,0,0,2,0,2,2,2,7,7,0,2,1,4,2,3,1
287,5,3,4,1,3,1,0,0,5,0,4,2,3,7,7,0,2,1,4,3,5,4
288,2,0,3,0,5,1,0,1,7,0,3,2,2,7,7,0,2,1,4,3,5,5
289,5,0,3,0,5,1,0,1,2,0,3,2,2,7,7,0,2,1,4,2,5,5
290,0,3,9,1,3,1,0,0,5,0,2,2,2,7,7,0,2,1,4,2,3,1
291,5,2,9,1,3,1,0,0,5,0,2,2,2,7,7,0,2,1,4,2,3,3
292,0,3,8,1,3,1,0,0,4,0,2,2,2,7,7,0,2,1,4,3,3,1
293,5,2,8,1,0,1,0,0,2,0,2,2,2,7,7,0,2,1,4,2,3,3
294,0,2,9,1,0,1,0,0,2,0,2,2,2,7,7,0,2,1,4,3,2,3
295,5,2,9,1,0,1,0,0,4,0,2,2,2,7,7,0,2,1,4,2,3,3
296,5,0,3,0,5,1,1,0,7,1,3,0,0,7,7,0,2,1,0,2,3,1
297,2,2,9,1,0,1,1,1,7,1,1,2,2,7,7,0,2,1,4,3,4,0
298,5,3,8,1,6,1,0,1,7,0,3,2,2,7,7,0,2,1,4,2,3,1
299,5,0,8,0,5,1,1,0,4,1,3,0,2,7,7,0,2,1,0,2,0,1
300,0,3,8,1,0,1,0,0,10,0,2,2,2,7,7,0,2,1,4,2,3,1
